user_id,signup_date,city_tier,segment,preferred_device,acquisition_channel,last_active_date,tenure_days,engagement_band
U000145,2026-01-09,3,premium,mobile,search,2026-01-30,21,high
U000146,2025-12-05,1,regular,mobile,organic,2026-01-30,56,low
U000147,2025-05-13,2,value,mobile,organic,2026-01-30,262,low
U000148,2025-07-02,3,regular,web,organic,2026-01-30,212,med
U000149,2025-11-27,2,value,mobile,organic,2026-01-30,64,low
U000150,2025-05-19,2,value,mobile,organic,2026-01-30,256,low
U000151,2025-12-05,2,value,web,organic,2026-01-30,56,low
U000152,2025-07-14,1,regular,web,email,2026-01-30,200,high
U000153,2025-12-21,3,regular,web,referral,2026-01-30,40,high
U000154,2025-07-17,2,regular,web,search,2026-01-30,197,low
U000155,2025-08-22,1,value,web,email,2026-01-30,161,low
U000156,2025-10-18,2,regular,mobile,organic,2026-01-30,104,med
U000157,2025-06-05,3,regular,mobile,search,2026-01-30,239,high
U000158,2025-09-21,1,premium,web,referral,2026-01-30,131,high
U000159,2025-09-08,3,regular,mobile,search,2026-01-30,144,low
U000160,2025-11-17,2,regular,web,organic,2026-01-30,74,med
U000161,2026-01-10,3,regular,web,search,2026-01-30,20,med
U000162,2025-10-18,3,regular,mobile,search,2026-01-30,104,low
U000163,2025-08-15,3,premium,web,paid_social,2026-01-30,168,high
U000164,2025-08-15,3,regular,mobile,search,2026-01-30,168,high
U000165,2025-08-17,1,regular,web,search,2026-01-30,166,med
U000166,2025-11-25,3,value,web,organic,2026-01-30,66,low
U000167,2025-07-24,2,regular,web,search,2026-01-30,190,med
U000168,2025-06-15,2,regular,web,organic,2026-01-30,229,low
U000169,2025-07-27,3,regular,mobile,referral,2026-01-30,187,med
U000170,2025-05-10,3,regular,mobile,paid_social,2026-01-30,265,high
U000171,2025-05-31,2,value,web,search,2026-01-30,244,med
U000172,2025-05-27,2,premium,web,paid_social,2026-01-30,248,high
U000173,2025-11-14,2,value,mobile,organic,2026-01-30,77,low
U000174,2025-11-02,2,premium,mobile,search,2026-01-30,89,high
U000175,2025-10-26,2,value,web,search,2026-01-30,96,low
U000176,2025-08-28,2,regular,web,search,2026-01-30,155,med
U000177,2025-10-31,1,regular,web,paid_social,2026-01-30,91,med
U000178,2025-06-14,1,regular,web,email,2026-01-30,230,high
U000179,2025-12-17,3,value,web,search,2026-01-30,44,low
U000180,2025-09-07,2,premium,web,search,2026-01-30,145,high
U000181,2025-12-26,3,regular,web,paid_social,2026-01-30,35,high
U000182,2025-06-12,2,regular,web,organic,2026-01-30,232,med
U000183,2025-09-06,1,regular,web,organic,2026-01-30,146,med
U000184,2025-10-26,1,value,mobile,email,2026-01-30,96,low
U000185,2025-09-06,1,regular,mobile,referral,2026-01-30,146,high
U000186,2025-08-24,3,value,web,email,2026-01-29,158,low
U000187,2025-06-15,1,value,web,organic,2026-01-30,229,low
U000188,2025-08-08,2,regular,web,organic,2026-01-30,175,low
U000189,2025-07-03,3,regular,mobile,search,2026-01-30,211,med
U000190,2025-07-19,3,value,mobile,email,2026-01-30,195,low
U000191,2025-10-23,1,value,web,organic,2026-01-30,99,med
U000192,2025-10-10,1,value,mobile,organic,2026-01-30,112,med
U000193,2025-10-04,1,value,mobile,organic,2026-01-30,118,med
U000194,2025-08-03,1,regular,mobile,paid_social,2026-01-30,180,med
U000195,2025-12-31,1,value,web,referral,2026-01-30,30,low
U000196,2025-05-27,2,premium,web,paid_social,2026-01-30,248,high
U000197,2025-07-29,3,value,mobile,organic,2026-01-30,185,low
U000198,2025-06-03,2,value,web,paid_social,2026-01-30,241,low
U000199,2025-07-29,2,premium,mobile,search,2026-01-30,185,high
U000200,2026-01-01,1,value,mobile,organic,2026-01-30,29,low
U000201,2025-08-04,3,regular,web,organic,2026-01-30,179,med
U000202,2025-12-19,2,premium,web,search,2026-01-30,42,high
U000203,2025-09-06,3,premium,web,organic,2026-01-30,146,high
U000204,2025-10-27,3,regular,web,email,2026-01-30,95,med
U000205,2025-08-27,2,value,mobile,search,2026-01-30,156,low
U000206,2025-07-10,1,regular,mobile,search,2026-01-30,204,med
U000207,2025-11-12,1,premium,web,paid_social,2026-01-30,79,high
U000208,2026-01-03,2,premium,mobile,paid_social,2026-01-30,27,high
U000209,2025-07-10,3,value,web,organic,2026-01-30,204,med
U000210,2025-11-16,2,regular,mobile,paid_social,2026-01-30,75,high
U000211,2025-07-09,3,value,web,organic,2026-01-30,205,med
U000212,2025-10-31,2,value,mobile,search,2026-01-30,91,med
U000213,2025-11-19,1,regular,mobile,paid_social,2026-01-30,72,med
U000214,2025-08-25,2,value,web,search,2026-01-30,158,low
U000215,2025-11-05,2,value,mobile,search,2026-01-30,86,med
U000216,2025-07-12,2,value,mobile,organic,2026-01-30,202,med
U000217,2025-05-24,2,regular,web,search,2026-01-30,251,high
U000218,2025-05-29,1,value,mobile,organic,2026-01-30,246,med
U000219,2025-08-25,2,regular,mobile,email,2026-01-30,158,high
U000220,2025-12-17,1,value,mobile,search,2026-01-30,44,low
U000221,2025-06-06,3,premium,web,referral,2026-01-30,238,low
U000222,2025-08-27,1,value,unknown,search,2026-01-30,156,med
U000223,2025-10-28,1,regular,mobile,referral,2026-01-30,94,med
U000224,2025-06-24,2,value,mobile,organic,2026-01-30,220,low
U000225,2025-11-02,2,value,web,organic,2026-01-30,89,med
U000226,2025-07-20,2,value,web,organic,2026-01-30,194,low
U000227,2025-11-23,2,value,mobile,organic,2026-01-30,68,low
U000228,2025-09-27,3,value,web,email,2026-01-30,125,low
U000229,2025-09-19,2,regular,web,paid_social,2026-01-30,133,high
U000230,2025-06-18,2,regular,web,paid_social,2026-01-30,226,med
U000231,2025-08-29,2,value,mobile,search,2026-01-30,154,low
U000232,2025-12-06,1,regular,web,search,2026-01-30,55,high
U000233,2025-05-09,2,regular,mobile,paid_social,2026-01-30,266,low
U000234,2025-11-11,1,value,mobile,referral,2026-01-30,80,low
U000235,2025-09-05,2,value,mobile,paid_social,2026-01-30,147,med
U000236,2025-11-01,1,value,mobile,paid_social,2026-01-30,90,low
U000237,2025-10-18,3,value,web,organic,2026-01-29,103,med
U000238,2025-08-21,2,regular,mobile,email,2026-01-30,162,high
U000239,2025-07-21,3,premium,web,organic,2026-01-30,193,high
U000240,2025-10-09,2,premium,mobile,search,2026-01-30,113,high
U000241,2025-06-09,1,premium,web,referral,2026-01-30,235,high
U000242,2025-09-28,3,regular,mobile,organic,2026-01-30,124,med
U000243,2025-05-28,2,value,mobile,organic,2026-01-30,247,low
U000244,2025-10-15,3,value,web,search,2026-01-30,107,low
U000245,2025-10-09,2,value,mobile,search,2026-01-30,113,low
U000246,2025-05-26,2,value,web,email,2026-01-30,249,low
U000247,2025-11-11,3,value,web,referral,2026-01-30,80,low
U000248,2025-08-17,2,regular,web,search,2026-01-30,166,high
U000249,2025-11-18,2,value,web,email,2026-01-30,73,low
U000250,2025-05-15,2,value,mobile,paid_social,2026-01-30,260,low
U000251,2025-06-19,2,regular,mobile,referral,2026-01-30,225,high
U000252,2025-09-05,3,value,web,organic,2026-01-30,147,med
U000253,2025-06-21,2,premium,mobile,search,2026-01-30,223,high
U000254,2025-07-26,2,value,mobile,organic,2026-01-30,188,low
U000255,2025-10-17,3,regular,mobile,organic,2026-01-30,105,high
U000256,2025-06-10,2,value,web,paid_social,2026-01-30,234,low
U000257,2025-10-22,2,regular,mobile,organic,2026-01-30,100,med
U000258,2025-05-30,2,value,web,search,2026-01-30,245,med
U000259,2025-06-17,1,value,mobile,paid_social,2026-01-30,227,med
U000260,2025-09-29,2,regular,mobile,organic,2026-01-30,123,high
U000261,2025-11-20,1,value,mobile,search,2026-01-29,70,med
U000262,2025-06-16,1,value,web,paid_social,2026-01-30,228,med
U000263,2025-07-19,2,premium,web,referral,2026-01-30,195,high
U000264,2025-12-23,2,value,mobile,organic,2026-01-30,38,low
U000265,2026-01-08,3,regular,web,email,2026-01-30,22,high
U000266,2025-09-27,2,regular,web,referral,2026-01-30,125,med
U000267,2025-08-25,1,value,mobile,paid_social,2026-01-30,158,low
U000268,2025-07-31,3,regular,mobile,search,2026-01-30,183,high
U000269,2025-10-05,1,value,web,paid_social,2026-01-30,117,low
U000270,2025-09-30,1,regular,web,referral,2026-01-30,122,med
U000271,2025-07-17,2,value,mobile,organic,2026-01-30,197,low
U000272,2025-05-10,2,value,web,email,2026-01-30,265,low
U000273,2025-06-12,3,value,web,email,2026-01-30,232,low
U000274,2025-12-31,3,premium,web,search,2026-01-30,30,high
U000275,2025-08-17,2,regular,web,paid_social,2026-01-30,166,high
U000276,2025-09-03,1,premium,mobile,search,2026-01-30,149,high
U000277,2025-08-30,2,regular,web,paid_social,2026-01-30,153,med
U000278,2025-11-17,2,regular,web,referral,2026-01-30,74,high
U000279,2025-05-21,1,regular,web,organic,2026-01-30,254,med
U000280,2025-05-25,2,premium,web,organic,2026-01-29,249,high
U000281,2025-07-13,2,regular,web,organic,2026-01-30,201,high
U000282,2025-09-04,1,value,mobile,email,2026-01-30,148,low
U000283,2025-10-20,2,regular,mobile,search,2026-01-30,102,high
U000284,2025-09-05,2,regular,web,referral,2026-01-30,147,med
U000285,2025-08-23,1,value,web,search,2026-01-30,160,med
U000286,2025-12-26,2,regular,web,organic,2026-01-30,35,med
U000287,2025-06-14,3,value,web,email,2026-01-30,230,med
U000288,2025-09-25,2,regular,mobile,search,2026-01-30,127,high
U000289,2025-09-18,3,value,web,search,2026-01-30,134,low
U000290,2025-08-31,2,regular,mobile,organic,2026-01-30,152,high
U000291,2025-11-23,3,regular,mobile,organic,2026-01-30,68,low
U000292,2025-07-11,1,regular,web,organic,2026-01-30,203,high
U000293,2025-12-30,2,value,mobile,search,2026-01-30,31,low
U000294,2025-07-27,1,premium,web,paid_social,2026-01-30,187,high
U000295,2025-09-18,2,regular,web,organic,2026-01-30,134,med
U000296,2025-09-12,2,value,mobile,organic,2026-01-30,140,low
U000297,2025-12-04,1,value,web,organic,2026-01-30,57,low
U000298,2025-08-23,3,value,mobile,search,2026-01-30,160,low
U000299,2025-07-15,2,value,mobile,email,2026-01-30,199,low
U000300,2025-05-10,2,regular,web,search,2026-01-30,265,high
U000301,2025-08-04,1,premium,mobile,organic,2026-01-30,179,high
U000302,2025-11-28,2,regular,web,paid_social,2026-01-30,63,med
U000303,2025-05-07,2,regular,mobile,email,2026-01-30,268,high
U000304,2025-12-15,2,regular,web,referral,2026-01-30,46,med
U000305,2025-09-18,1,regular,web,referral,2026-01-30,134,high
U000306,2025-06-09,3,regular,web,email,2026-01-29,234,high
U000307,2025-07-19,3,value,mobile,paid_social,2026-01-30,195,low
U000308,2025-09-21,2,premium,web,email,2026-01-30,131,high
U000309,2025-07-23,2,regular,mobile,organic,2026-01-30,191,med
U000310,2025-06-01,3,regular,web,referral,2026-01-30,243,med
U000311,2025-10-19,3,premium,web,referral,2026-01-30,103,high
U000312,2025-10-20,2,regular,web,email,2026-01-30,102,low
U000313,2025-06-03,3,value,web,search,2026-01-30,241,low
U000314,2025-07-14,3,regular,mobile,referral,2026-01-30,200,med
U000315,2025-07-05,3,value,web,organic,2026-01-30,209,low
U000316,2025-10-17,2,regular,mobile,paid_social,2026-01-30,105,med
U000317,2025-11-04,1,value,mobile,search,2026-01-30,87,low
U000318,2025-11-03,1,regular,web,paid_social,2026-01-30,88,high
U000319,2025-12-26,2,premium,mobile,paid_social,2026-01-30,35,high
U000320,2025-11-13,2,value,mobile,search,2026-01-30,78,low
U000321,2025-07-24,2,regular,mobile,organic,2026-01-30,190,low
U000322,2025-06-01,2,regular,web,organic,2026-01-30,243,med
U000323,2025-10-06,2,regular,mobile,paid_social,2026-01-30,116,med
U000324,2025-12-20,3,value,mobile,paid_social,2026-01-30,41,low
U000325,2026-01-04,1,value,web,paid_social,2026-01-30,26,low
U000326,2025-07-01,1,regular,mobile,organic,2026-01-30,213,med
U000327,2025-07-03,3,regular,web,referral,2026-01-30,211,high
U000328,2025-05-14,3,regular,mobile,paid_social,2026-01-30,261,med
U000329,2025-06-09,3,value,mobile,organic,2026-01-30,235,low
U000330,2025-09-21,3,regular,mobile,organic,2026-01-30,131,high
U000331,2025-09-19,3,value,mobile,search,2026-01-30,133,low
U000332,2025-08-06,2,value,mobile,search,2026-01-30,177,low
U000333,2025-07-21,2,regular,mobile,organic,2026-01-30,193,high
U000334,2025-11-29,2,value,web,organic,2026-01-30,62,med
U000335,2025-08-28,2,regular,web,organic,2026-01-30,155,low
U000336,2025-11-23,3,premium,web,organic,2026-01-30,68,high
U000337,2026-01-01,2,regular,web,organic,2026-01-30,29,high
U000338,2025-07-23,2,regular,mobile,referral,2026-01-30,191,high
U000339,2025-06-24,2,value,mobile,search,2026-01-30,220,low
U000340,2025-12-30,1,value,web,search,2026-01-30,31,low
U000341,2025-10-11,1,value,web,paid_social,2026-01-30,111,med
U000342,2025-07-17,1,regular,mobile,search,2026-01-30,197,med
U000343,2025-10-08,3,regular,web,organic,2026-01-30,114,high
U000344,2025-09-11,2,value,mobile,organic,2026-01-30,141,med
U000345,2025-12-18,3,value,mobile,organic,2026-01-30,43,low
U000346,2025-07-08,2,value,web,paid_social,2026-01-30,206,med
U000347,2026-01-08,1,regular,web,search,2026-01-30,22,high
U000348,2025-12-25,1,regular,web,search,2026-01-30,36,med
U000349,2025-06-19,3,regular,web,search,2026-01-30,225,med
U000350,2025-06-15,2,premium,web,email,2026-01-30,229,high
U000351,2025-09-15,3,value,web,organic,2026-01-30,137,low
U000352,2025-05-16,1,regular,web,search,2026-01-30,259,low
U000353,2025-07-18,2,regular,web,search,2026-01-30,196,high
U000354,2025-08-22,3,value,web,paid_social,2026-01-30,161,low
U000355,2026-01-03,1,premium,mobile,paid_social,2026-01-30,27,high
U000356,2026-01-09,2,value,web,paid_social,2026-01-30,21,low
U000357,2025-06-12,3,regular,mobile,organic,2026-01-30,232,low
U000358,2025-12-14,2,regular,web,search,2026-01-30,47,med
U000359,2025-05-27,2,premium,web,referral,2026-01-30,248,high
U000360,2025-11-08,2,regular,web,search,2026-01-30,83,high
U000361,2025-12-03,2,value,mobile,email,2026-01-30,58,low
U000362,2025-12-14,3,regular,web,search,2026-01-30,47,low
U000363,2025-06-30,3,regular,web,search,2026-01-30,214,med
U000364,2025-12-15,2,regular,web,search,2026-01-30,46,high
U000365,2025-06-03,3,regular,mobile,search,2026-01-30,241,high
U000366,2025-09-12,1,value,web,referral,2026-01-30,140,low
U000367,2025-08-30,1,regular,web,organic,2026-01-30,153,high
U000368,2025-07-23,2,premium,mobile,search,2026-01-30,191,high
U000369,2025-05-10,3,value,web,paid_social,2026-01-30,265,med
U000370,2025-11-14,1,regular,web,referral,2026-01-30,77,med
U000371,2025-07-28,1,premium,mobile,paid_social,2026-01-30,186,high
U000372,2025-10-18,2,regular,web,email,2026-01-30,104,med
U000373,2025-08-15,3,premium,web,referral,2026-01-30,168,high
U000374,2025-08-06,1,regular,web,search,2026-01-30,177,med
U000375,2025-12-13,2,premium,web,referral,2026-01-30,48,high
U000376,2025-05-28,2,value,mobile,email,2026-01-30,247,med
U000377,2025-11-05,2,regular,mobile,organic,2026-01-30,86,med
U000378,2025-11-08,1,regular,mobile,paid_social,2026-01-30,83,high
U000379,2025-08-08,1,regular,web,organic,2026-01-30,175,high
U000380,2025-07-09,2,premium,mobile,paid_social,2026-01-30,205,high
U000381,2025-05-06,2,regular,mobile,organic,2026-01-30,269,high
U000382,2025-12-26,3,regular,web,paid_social,2026-01-30,35,med
U000383,2025-12-28,2,regular,mobile,search,2026-01-30,33,med
U000384,2025-07-04,2,regular,mobile,paid_social,2026-01-30,210,med
U000385,2025-05-13,3,regular,mobile,organic,2026-01-30,262,high
U000386,2025-06-04,2,value,web,paid_social,2026-01-30,240,low
U000387,2025-05-21,2,regular,web,search,2026-01-30,254,high
U000388,2025-11-29,3,premium,mobile,paid_social,2026-01-30,62,high
U000389,2025-12-14,1,regular,mobile,organic,2026-01-30,47,med
U000390,2025-06-12,2,regular,web,organic,2026-01-30,232,high
U000391,2025-11-08,3,regular,web,search,2026-01-30,83,med
U000392,2025-06-18,1,regular,mobile,email,2026-01-30,226,high
U000393,2025-08-05,2,value,web,organic,2026-01-30,178,low
U000394,2025-10-02,1,regular,web,paid_social,2026-01-30,120,low
U000395,2025-11-01,1,regular,mobile,organic,2026-01-30,90,med
U000396,2025-12-10,2,value,web,paid_social,2026-01-30,51,med
U000397,2025-05-16,2,value,web,organic,2026-01-30,259,low
U000398,2025-06-23,3,regular,web,search,2026-01-30,221,med
U000399,2025-07-14,3,regular,mobile,search,2026-01-30,200,med
U000400,2025-07-21,3,regular,web,organic,2026-01-30,193,med
U000401,2026-01-10,2,value,mobile,search,2026-01-30,20,low
U000402,2025-11-16,2,regular,mobile,search,2026-01-30,75,high
U000403,2025-07-24,2,regular,mobile,search,2026-01-30,190,med
U000404,2026-01-03,1,regular,web,email,2026-01-30,27,med
U000405,2025-09-07,3,regular,web,search,2026-01-30,145,med
U000406,2025-09-07,2,value,web,email,2026-01-30,145,low
U000407,2025-08-21,1,premium,mobile,search,2026-01-30,162,high
U000408,2025-06-10,3,value,mobile,organic,2026-01-30,234,med
U000409,2025-12-25,2,regular,mobile,organic,2026-01-30,36,high
U000410,2025-05-08,1,value,web,search,2026-01-30,267,low
U000411,2025-06-17,1,regular,web,organic,2026-01-30,227,high
U000412,2025-07-01,2,value,mobile,referral,2026-01-30,213,med
U000413,2025-07-14,3,premium,web,paid_social,2026-01-30,200,med
U000414,2025-06-07,1,regular,mobile,search,2026-01-30,237,high
U000415,2025-05-09,3,regular,web,search,2026-01-30,266,med
U000416,2025-10-22,3,value,mobile,search,2026-01-30,100,low
U000417,2026-01-03,3,value,mobile,paid_social,2026-01-30,27,med
U000418,2025-06-04,1,regular,web,organic,2026-01-30,240,med
U000419,2025-07-18,1,regular,web,organic,2026-01-30,196,high
U000420,2025-09-09,3,regular,mobile,organic,2026-01-30,143,med
U000421,2025-12-23,2,premium,web,organic,2026-01-30,38,high
U000422,2025-10-26,2,regular,web,paid_social,2026-01-30,96,high
U000423,2025-11-13,3,premium,web,organic,2026-01-30,78,high
U000424,2025-09-27,1,value,web,organic,2026-01-30,125,low
U000425,2025-08-17,3,regular,mobile,email,2026-01-30,166,med
U000426,2025-06-24,3,regular,web,email,2026-01-30,220,med
